def,required_to_unlock,required_to_reveal,price,price_coef,price_currency,output,output_currency,max_level,mechanics,affected_defs,affected_value,ui_name_key,ui_desc_key,ui_sprite
node 1,,,1,"1,1",token,"0,1",token,50,,,,,,
node 2,node 1,,5,"1,1",token,"0,13",token,50,,,,,,
node 3,node 2:2,,25,"1,1",token,"0,169",token,50,,,,,,
node 4,node 3,node 2,125,"1,1",token,"0,2197",token,50,,,,,,
node 5,node 4,node 4,625,"1,1",token,"0,28561",token,50,,,,,,
node 6,"node 4, node 5",node 4,3125,"1,1",token,"0,371293",token,50,,,,,,
node 7,node 6,,15625,"1,1",token,"0,4826809",token,50,,,,,,
node 8,node 7,,78125,"1,1",token,"0,62748517",token,50,,,,,,
node 9,node 8,,390625,"1,1",token,"0,815730721",token,50,,,,,,
node 10,node 9,,1953125,"1,1",token,"1,060449937",token,50,,,,,,
node 11,node 10,,9765625,"1,1",token,"1,378584918",token,50,,,,,,
node 12,node 11,,48828125,"1,1",token,"1,792160394",token,50,,,,,,
node 13,node 12,,244140625,"1,1",token,"2,329808512",token,50,,,,,,
node 14,node 13,,1220703125,"1,1",token,"3,028751066",token,50,,,,,,
node 15,node 14,,6103515625,"1,1",token,"3,937376386",token,50,,,,,,
node 16,node 15,,30517578125,"1,1",token,"5,118589301",token,50,,,,,,
node 17,node 16,,152587890625,"1,1",token,"6,654166092",token,50,,,,,,
node 18,node 17,,762939453125,"1,1",token,"8,650415919",token,50,,,,,,
node 19,node 18,,3814697265625,"1,1",token,"11,2455407",token,50,,,,,,
node 20,node 19,,19073486328125,"1,1",token,"14,6192029",token,50,,,,,,
node 21,node 20,,95367431640625,"1,1",token,"19,00496377",token,50,,,,,,
node 22,node 21,,476837158203125,"1,1",token,"24,70645291",token,50,,,,,,
